eta,momentum,lambda,error
1.0,0.6,0.020000000000000004,1.7775351203985883
0.5,0.4,0.05000000000000001,1.7799095614794247
0.2,1.0,0.05000000000000001,1.7971142816992012
0.9,0.9,0.09000000000000001,1.7988543347195778
0.8,0.4,0.05000000000000001,1.7994835270447218
0.8,1.0,0.01,1.8001691484982694
0.1,1.0,0.1,1.8093431213982103
0.4,0.9,0.1,1.8148585742807124
0.4,0.1,0.01,1.8150761118294765
0.8,0.6,0.01,1.8162223826653559
1.0,0.5,0.08,1.821558276422794
0.7000000000000001,0.5,0.04000000000000001,1.822434098945131
1.0,0.5,0.04000000000000001,1.8249157837265628
0.8,0.1,0.08,1.8332787874428091
0.5,0.5,0.05000000000000001,1.8350617356638663
0.5,1.0,0.08,1.8350790400507087
